Crisis ID,Type of Community Crisis,What,Where,When,How,Severity,Duration
40,Protest,rally,"00313 Gould Mall, Jacobside, GA 57449",05-11-2021 17:00,protest,very high,within 6 hours
41,Riot,uprising,"447 Bell Wall, Colefort, HI 89721",20-01-2021 02:42,uprising,moderate,within 6 hours
42,Protest,demonstration,"4752 Webb Union, Mistymouth, CA 67852",23-05-2022 12:39,strike,very low,within 24 hours
43,Riot,riot,"210 Thompson Shoal, Sophiachester, WA 66553",31-12-2022 08:56,violent protest,low,within 48 hours
44,Crime Spree,criminal activity,"0857 Kyle Ramp, East Jonathanborough, ND 43989",09-03-2023 03:56,crime spree,very high,within 12 hours
45,Civil War,warfare,"85414 Estes Overpass Apt. 904, New Erinton, NE 82920",21-05-2021 20:10,warfare,high,within 24 hours
46,Terrorist Attack,terrorism,"86619 John Circle, Starkport, WA 12105",10-01-2020 08:47,armed assault,very low,within 36 hours
47,Labor Strike,strike,"USNV Boyd, FPO AP 20821",13-10-2020 02:59,labor dispute,moderate,within 12 hours
48,Civil War,civil war,"19057 Kara Plaza Apt. 954, Wrightland, NJ 67885",25-10-2020 00:01,civil war,very high,within 36 hours
49,Labor Strike,strike,"0113 Wayne Row Suite 125, Barbarastad, HI 81486",14-02-2023 04:16,labor strike,moderate,within 48 hours
50,Crime Spree,lawlessness,"82782 Alexis Forges Suite 869, Ryanfort, MN 76977",21-02-2021 06:21,crime spree,moderate,within 6 hours
51,Terrorist Attack,terrorist attack,"5389 Fleming Haven, Louistown, FL 04061",02-09-2023 22:11,hostage crisis,low,within 6 hours
52,Riot,civil unrest,"57557 Grant Village, Susantown, PR 11715",27-08-2021 00:04,riot,moderate,within 24 hours
53,Protest,demonstration,"390 Paul Springs, Davisburgh, TN 99050",29-05-2022 09:31,march,very high,within 48 hours
54,Terrorist Attack,terrorism,"Unit 2813 Box 2727, DPO AE 04867",08-04-2020 22:43,armed assault,very high,within 12 hours
55,Civil War,conflict,"15064 Lori Crescent Apt. 115, Port Shane, WA 02528",13-11-2023 00:44,civil war,low,within 6 hours
56,Riot,riot,"85009 Chang Shores, Joelmouth, SD 57612",07-01-2020 18:11,riot,very low,within 24 hours
57,Riot,disturbance,"6443 Silva Shoal, East Joshuahaven, OK 92927",18-02-2022 18:58,violent protest,very high,within 18 hours
58,Environmental Hazard,toxic contamination,"09257 Shaun Station Apt. 631, Lake Julie, NV 18163",14-04-2021 17:58,toxic contamination,moderate,within 18 hours
59,Protest,march,"1772 Connor Mews, West Robinshire, CT 85402",18-08-2020 09:58,strike,high,within 18 hours
60,Terrorist Attack,hostage crisis,"787 Sherri Crossing, South Jeffrey, IA 13262",23-12-2021 14:34,terrorist attack,very high,within 24 hours
61,Terrorist Attack,terrorist attack,"71340 Jennifer Shore, Lake Cory, AK 78627",06-05-2021 18:08,hostage crisis,low,within 6 hours
62,Protest,rally,"PSC 0080, Box 8228, APO AA 03838",29-03-2023 14:42,rally,moderate,within 6 hours
63,Riot,riot,"8406 Heather Divide, Stevenchester, KY 70695",01-06-2021 15:03,uprising,very low,within 24 hours
64,Labor Strike,industrial action,"886 Scott Springs Apt. 678, Mariefort, WI 84715",07-01-2020 06:19,labor dispute,moderate,within 36 hours
65,Environmental Hazard,environmental hazard,"619 Carrie Avenue Apt. 509, Alexandrachester, MP 51417",30-11-2020 08:25,environmental disaster,very high,within 36 hours
66,Civil War,insurgency,"057 Sandra Bypass, Gibbsport, MD 20005",10-03-2024 02:23,insurgency,very low,within 12 hours
67,Civil War,civil war,"USNV Brady, FPO AA 19451",15-11-2022 10:23,conflict,low,within 36 hours
68,Public Health Emergency,pandemic,"54801 Johnson Port Apt. 669, Browningmouth, FL 23084",22-11-2021 22:11,epidemic,low,within 24 hours
69,Environmental Hazard,ecological threat,"4040 Thomas Fall, Lake Tinabury, OH 85641",28-10-2020 09:11,toxic contamination,moderate,within 24 hours
70,Environmental Hazard,pollution,"111 Grant Plaza Suite 265, New Stevenmouth, TN 46975",13-02-2024 08:40,environmental disaster,high,within 12 hours
71,Civil War,conflict,"15810 Stevenson Isle, Port Alexandratown, AL 68124",26-08-2022 06:00,civil war,high,within 6 hours
72,Public Health Emergency,outbreak,"675 Natalie Lakes Apt. 571, Herreraton, MI 34870",08-05-2023 12:44,health crisis,moderate,within 48 hours
73,Civil War,warfare,"76685 Russell Islands Suite 927, Port Joshuaport, MO 35934",23-08-2022 05:12,conflict,low,within 48 hours
74,Crime Spree,criminal outbreak,"89909 Sheila Via, East Jacqueline, AR 74984",31-05-2022 15:26,lawlessness,very low,within 6 hours
75,Terrorist Attack,bombing,"560 Perry Terrace Suite 678, Port Sarahview, OH 35118",16-02-2021 07:31,bombing,moderate,within 6 hours
76,Protest,march,"1366 Carlos Hollow Suite 342, Port Derrickstad, ME 47343",04-04-2024 04:06,march,moderate,within 6 hours
77,Civil War,civil war,"560 Hampton Mission Apt. 590, Mendozahaven, NH 46674",01-10-2021 19:28,civil war,very low,within 36 hours
78,Civil War,conflict,"0423 Olson Ranch Suite 973, North Cindy, CT 46004",28-07-2022 22:47,armed conflict,very low,within 6 hours
79,Protest,protest,"8370 Stephanie Rapids, Jeffreyberg, OK 71838",28-03-2021 23:49,rally,very high,within 12 hours
80,Labor Strike,labor strike,"541 Anderson Mountain Apt. 916, Thomaston, DC 81912",30-06-2021 03:41,worker protest,high,within 24 hours
81,Public Health Emergency,public health emergency,"003 Coleman Row, New Rachel, CO 08888",05-10-2021 02:24,health crisis,high,within 6 hours
82,Crime Spree,crime wave,"4463 Frank Cove Apt. 931, Morganstad, CA 46008",08-10-2020 08:24,crime wave,moderate,within 36 hours
83,Terrorist Attack,hostage crisis,"08481 Walker Lights Apt. 866, Fordville, DE 52697",24-09-2021 13:53,bombing,low,within 18 hours
84,Public Health Emergency,public health emergency,"89101 Brown Meadows Suite 388, Brayview, VI 15150",08-05-2020 11:26,public health emergency,high,within 6 hours
85,Riot,violent protest,"263 Kevin Ferry, East Aliciaville, NJ 58900",30-11-2020 09:50,riot,moderate,within 6 hours
86,Crime Spree,criminal outbreak,"4005 Robert Corners, Michaelton, AK 81031",11-04-2023 07:54,lawlessness,very low,within 12 hours
87,Civil War,armed conflict,"52893 Clay Forges, Lake Melindafurt, TN 61948",26-09-2020 08:55,armed conflict,very high,within 36 hours
88,Terrorist Attack,bombing,"3293 Golden Pass Suite 310, Fullerton, CT 32308",18-02-2023 20:12,terrorism,low,within 36 hours
89,Riot,uprising,"0811 Hill Fields, Morrismouth, HI 45914",02-01-2020 14:57,riot,very low,within 24 hours
90,Civil War,insurgency,"05681 Rivera Ferry, Sabrinafurt, OH 55704",02-06-2020 22:32,conflict,very low,within 36 hours
91,Protest,march,"554 King Bridge, Kathleenview, MN 99077",07-05-2020 00:51,protest,very low,within 6 hours
92,Environmental Hazard,ecological threat,"47104 Choi Creek Suite 108, Port Stevenstad, MP 74930",03-10-2022 21:29,ecological threat,high,within 36 hours
93,Civil War,insurgency,"619 Melton Turnpike Apt. 238, Hernandezland, KS 95967",18-04-2020 06:32,insurgency,high,within 18 hours
94,Riot,civil unrest,"175 Daniel Camp Apt. 686, Dudleyhaven, CT 56589",28-09-2023 02:14,uprising,very low,within 18 hours
95,Terrorist Attack,armed assault,"818 Nancy Spur Suite 955, South Robert, NJ 22564",21-12-2020 04:31,terrorist attack,high,within 36 hours
96,Civil War,armed conflict,"PSC 8410, Box 4094, APO AE 98357",27-11-2023 01:54,armed conflict,very high,within 24 hours
97,Public Health Emergency,outbreak,"885 Price Tunnel, Feliciafort, WI 39605",18-02-2021 02:35,public health emergency,moderate,within 18 hours
98,Crime Spree,crime spree,"84405 Ralph Rest Suite 750, North Jorgefort, NM 74902",05-06-2023 01:23,criminal activity,low,within 36 hours
99,Public Health Emergency,public health emergency,"096 Jones Motorway, Jeanbury, NH 72564",12-09-2023 23:58,epidemic,very high,within 24 hours
100,Riot,riot,"654 Green Court, Kimberlyside, NE 88273",20-07-2021 06:26,civil unrest,high,within 6 hours
101,Environmental Hazard,toxic contamination,"56946 Michael Ranch, Rebeccamouth, CA 75132",29-12-2023 23:15,ecological threat,high,within 18 hours
102,Terrorist Attack,hostage crisis,"60299 Gill Harbor Suite 765, Johnshire, MN 67997",13-02-2023 18:30,armed assault,very high,within 24 hours
103,Public Health Emergency,outbreak,"1660 Ramirez Pike Apt. 322, Ericberg, NC 22947",06-12-2020 19:52,epidemic,very low,within 18 hours
104,Civil War,civil war,"26343 Francis Expressway, North Annhaven, WY 66960",27-10-2021 05:24,conflict,very high,within 12 hours
105,Environmental Hazard,environmental disaster,"PSC 8881, Box 9007, APO AP 64376",29-06-2023 11:09,ecological threat,very low,within 18 hours
106,Riot,disturbance,"577 Salinas Field, West Emilychester, OH 91886",21-02-2021 11:19,civil unrest,moderate,within 36 hours
107,Civil War,civil war,"7289 William Flat Apt. 350, Woodsland, NH 64185",24-04-2020 07:05,warfare,very high,within 36 hours
108,Public Health Emergency,public health emergency,"069 Kevin Inlet, New Ericaview, VA 57840",18-06-2023 07:59,outbreak,very high,within 36 hours
109,Riot,uprising,"088 Regina Ranch Suite 463, South Christopherborough, MN 64999",15-07-2021 09:05,riot,very high,within 48 hours
110,Terrorist Attack,hostage crisis,"46001 Williamson Crossroad, Lake Luke, OH 80124",10-08-2023 12:49,bombing,very high,within 12 hours
111,Labor Strike,labor strike,"5781 Ashley River Apt. 338, Nicholsville, LA 69046",23-09-2020 03:54,worker protest,low,within 12 hours
112,Environmental Hazard,ecological threat,"4730 Nicole Flats, Amandaview, OR 41229",19-05-2022 22:22,environmental hazard,very low,within 18 hours
113,Protest,march,"1376 Lisa Motorway Suite 998, New Jill, FL 57233",28-01-2020 02:00,demonstration,low,within 12 hours
114,Public Health Emergency,pandemic,"985 Sweeney Cape, Fergusonshire, UT 01518",25-01-2024 03:41,pandemic,very high,within 24 hours
115,Environmental Hazard,environmental hazard,"1388 Whitney Ports, Cherylville, WY 48498",01-03-2023 04:45,toxic contamination,very high,within 18 hours
116,Environmental Hazard,environmental hazard,"3652 Ramirez Cliff, Port William, TN 05748",24-12-2023 22:35,environmental disaster,very low,within 18 hours
117,Protest,strike,"Unit 4577 Box 4646, DPO AP 44451",01-12-2023 04:35,demonstration,very high,within 24 hours
118,Civil War,conflict,"25862 Gary Wall, Mcintyrefurt, MP 70563",13-07-2023 01:58,insurgency,high,within 48 hours
119,Terrorist Attack,terrorism,"855 Abigail Crest, Mariaville, LA 85431",19-01-2021 16:45,armed assault,very low,within 36 hours
120,Environmental Hazard,environmental disaster,"166 Margaret Mountain, West Teresamouth, RI 14034",11-06-2022 10:17,toxic contamination,very high,within 24 hours
121,Terrorist Attack,bombing,"19876 Chelsea Forge, Lake Cherylbury, LA 26749",25-10-2020 05:11,terrorist attack,moderate,within 18 hours
122,Protest,rally,"PSC 6392, Box 9213, APO AE 40113",18-12-2021 10:50,march,moderate,within 24 hours
123,Labor Strike,labor strike,"316 Sharon Trail Suite 519, Port Tyler, SD 33531",30-04-2021 21:55,strike,high,within 6 hours
124,Environmental Hazard,environmental disaster,"21017 Young Mountains Apt. 060, Kimside, WA 31536",15-12-2023 14:51,toxic contamination,low,within 48 hours
125,Protest,strike,"22817 Sandoval Glen Apt. 711, Haleyberg, TN 48368",17-11-2023 22:38,strike,high,within 48 hours
126,Labor Strike,industrial action,"12890 Elizabeth Gardens, West Charles, MT 59420",31-05-2023 22:53,industrial action,low,within 24 hours
127,Crime Spree,crime spree,"3657 Steven Inlet Suite 786, Ruizville, WV 86443",05-11-2023 20:27,crime spree,moderate,within 24 hours
128,Civil War,civil war,"21931 Johnson Freeway Suite 858, North Keithmouth, OH 78265",26-11-2020 01:45,insurgency,moderate,within 12 hours
129,Terrorist Attack,armed assault,"92526 Alexis Port, New Triciaberg, AR 67162",10-07-2022 13:07,terrorism,very low,within 18 hours
130,Crime Spree,lawlessness,"2051 Shields Overpass, South Christopherhaven, AS 97657",30-03-2023 20:03,crime wave,very high,within 24 hours
131,Civil War,conflict,"44697 Simmons Cape Apt. 705, East Laurashire, SC 88876",14-06-2022 22:30,armed conflict,moderate,within 12 hours
132,Protest,rally,"695 Megan Views, East Robertshire, VT 20093",20-11-2020 21:24,demonstration,low,within 36 hours
133,Public Health Emergency,outbreak,"593 Chavez Bypass Apt. 407, West Richard, MH 66715",30-07-2023 23:37,health crisis,very low,within 36 hours
134,Crime Spree,criminal outbreak,"28063 Charlene Common Suite 312, East Rachelmouth, CT 26209",07-11-2021 23:57,lawlessness,high,within 6 hours
135,Public Health Emergency,epidemic,"728 Desiree Burgs Suite 533, Port Jeffrey, IA 71208",16-04-2022 11:49,epidemic,low,within 12 hours
136,Public Health Emergency,outbreak,"92333 Kyle Corner, New Jasonland, IA 24521",08-02-2021 10:40,pandemic,high,within 18 hours
137,Protest,protest,"339 John Gardens Apt. 159, New Danaland, AK 71460",02-02-2022 11:28,strike,very high,within 18 hours
138,Civil War,conflict,"7033 Butler Junctions Apt. 042, South Jenniferberg, SC 54127",26-07-2020 03:17,warfare,high,within 6 hours
139,Civil War,conflict,"8523 Miller Radial Apt. 609, South Vanessashire, MT 67499",26-09-2023 02:47,insurgency,low,within 48 hours
140,Riot,violent protest,"7338 Ryan Oval, New Wendyton, WV 89614",23-06-2020 22:18,violent protest,high,within 18 hours
141,Environmental Hazard,environmental hazard,"1940 Webster Lane Apt. 254, Meganmouth, NV 40159",14-10-2023 04:22,toxic contamination,moderate,within 6 hours
142,Public Health Emergency,health crisis,"718 Michael Port, South Kevin, DE 41574",15-08-2020 06:39,pandemic,very high,within 6 hours
143,Public Health Emergency,health crisis,"5242 Watson Vista Apt. 393, Coxview, RI 05871",15-09-2023 00:11,outbreak,moderate,within 24 hours
144,Terrorist Attack,armed assault,"PSC 6344, Box 3742, APO AA 58598",30-06-2023 19:00,terrorism,low,within 48 hours
145,Crime Spree,lawlessness,"293 Cheryl Highway, East Jeffreyport, GU 44917",29-11-2021 13:48,crime wave,high,within 12 hours
146,Crime Spree,criminal outbreak,"18216 Phillips Isle, West Karen, NC 00520",18-02-2024 04:01,criminal activity,very high,within 18 hours
147,Riot,disturbance,"8237 Barrett Forest, West Alexandraberg, KS 93896",04-10-2023 14:59,disturbance,very high,within 36 hours
148,Protest,demonstration,"192 Darren Glens, Cookemouth, MO 88409",18-05-2020 09:31,rally,moderate,within 36 hours
149,Public Health Emergency,health crisis,"20705 Jordan Streets, South Rachelside, AK 53375",17-02-2021 12:20,health crisis,very low,within 6 hours
150,Crime Spree,criminal activity,"PSC 5306, Box 2760, APO AE 39068",02-02-2024 09:27,crime spree,very high,within 48 hours
151,Riot,disturbance,"702 Holly Trafficway Apt. 892, New Kimberly, GU 84419",17-08-2023 20:31,civil unrest,low,within 48 hours
152,Crime Spree,criminal activity,"94876 Michael Center, Loriberg, WY 04372",08-12-2022 20:30,lawlessness,very high,within 18 hours
153,Riot,disturbance,"7537 Frazier Landing, North Matthew, IN 08609",10-11-2023 11:04,riot,very high,within 48 hours
154,Environmental Hazard,environmental disaster,"84903 Hubbard Tunnel Apt. 936, South Richard, MP 65976",19-12-2021 01:54,ecological threat,moderate,within 48 hours
155,Riot,uprising,"259 Thompson Ports, Ronaldchester, FM 25882",22-02-2024 09:50,violent protest,low,within 12 hours
156,Public Health Emergency,pandemic,"56975 David Course Apt. 164, East Danny, KS 35810",14-09-2023 16:33,epidemic,very high,within 48 hours
157,Civil War,armed conflict,"111 Haynes Knoll, Michaelton, RI 56888",02-07-2022 20:43,warfare,moderate,within 6 hours
158,Civil War,insurgency,"007 Oliver Trail, Heathertown, WI 63898",25-02-2023 04:13,conflict,low,within 36 hours
159,Terrorist Attack,terrorist attack,"4379 Nunez Springs, Charleshaven, TX 61704",28-06-2020 05:17,hostage crisis,very high,within 48 hours
160,Public Health Emergency,health crisis,"04036 Amy Hills, South Darrylstad, MS 33613",22-01-2021 18:57,pandemic,high,within 18 hours
161,Terrorist Attack,armed assault,"5029 Benjamin Rapid, East Cynthia, OR 20116",27-02-2023 07:24,hostage crisis,high,within 48 hours
162,Crime Spree,lawlessness,"01837 Amy Courts Apt. 996, Barnettfort, MA 81768",30-05-2021 00:20,crime spree,low,within 24 hours
163,Environmental Hazard,environmental disaster,"PSC 0853, Box 9850, APO AA 44532",06-12-2021 02:03,environmental disaster,very low,within 18 hours
164,Public Health Emergency,health crisis,"Unit 5835 Box 2310, DPO AE 70079",09-06-2021 13:46,epidemic,very low,within 18 hours
165,Public Health Emergency,outbreak,"4534 Jason Harbors, West Samuelville, WY 47660",27-10-2021 17:29,pandemic,low,within 18 hours
166,Protest,demonstration,"3207 Amy Route Apt. 652, Michelleland, FM 97701",04-09-2020 05:12,strike,low,within 36 hours
167,Labor Strike,worker protest,"9000 Rodriguez Isle, Sullivanshire, CA 72029",22-04-2023 18:34,worker protest,very high,within 12 hours
168,Civil War,civil war,"867 Taylor Circles, West Justinburgh, MS 29855",07-10-2021 12:05,armed conflict,very high,within 48 hours
169,Crime Spree,lawlessness,"5932 Steele Dale Suite 589, Port Tonya, NJ 97439",06-06-2021 00:07,criminal activity,very low,within 48 hours
170,Civil War,armed conflict,"315 Jenkins Parkways, Beverlytown, NY 43111",03-01-2021 11:02,warfare,high,within 48 hours
171,Crime Spree,crime wave,"3213 Mcdowell Wall Apt. 938, Jonesborough, AL 54062",25-02-2023 01:42,crime spree,low,within 6 hours
172,Crime Spree,lawlessness,"PSC 5850, Box 3508, APO AP 72402",24-10-2023 21:28,criminal outbreak,low,within 12 hours
173,Environmental Hazard,environmental hazard,"6970 Hill Parks Suite 705, South Joshua, MN 91923",11-11-2021 09:10,ecological threat,very high,within 36 hours
174,Public Health Emergency,public health emergency,"6089 Guzman Glen, Scottfurt, TX 25998",16-07-2021 02:27,epidemic,moderate,within 6 hours
175,Civil War,warfare,"7072 Troy Meadows Suite 712, Lake Spencerside, AS 17442",31-07-2022 22:33,insurgency,high,within 6 hours
176,Civil War,conflict,"8290 Stephanie Roads, North Ronald, DE 84005",27-10-2020 15:16,civil war,very high,within 12 hours
177,Labor Strike,labor strike,"556 Rodriguez Burgs, Martinmouth, LA 06080",13-06-2020 10:06,labor dispute,very high,within 12 hours
178,Labor Strike,labor dispute,"5797 Ayers Mission Suite 270, South Teresashire, HI 85018",04-08-2021 00:02,worker protest,low,within 6 hours
179,Public Health Emergency,epidemic,"1501 Michael Forge, Port Carrie, NM 10741",19-03-2020 16:53,outbreak,very low,within 18 hours
180,Protest,demonstration,"707 Meyer Course Apt. 460, Lake Jonathanchester, MD 21655",14-04-2021 12:31,march,low,within 24 hours
181,Protest,protest,"11373 Jason Islands, Lake Danielton, CT 78726",01-03-2022 00:47,demonstration,high,within 36 hours
182,Riot,civil unrest,"23811 Charles Stream, West Samuelhaven, DC 18289",10-06-2023 01:24,riot,high,within 48 hours
183,Public Health Emergency,epidemic,"62076 Mueller Ramp, West Mark, VI 07387",22-04-2020 13:15,public health emergency,high,within 48 hours
184,Civil War,insurgency,"467 Mclean Brooks, Port Jeremy, NC 08535",29-03-2021 17:30,insurgency,high,within 48 hours
185,Riot,civil unrest,"USNS Little, FPO AP 41293",13-05-2021 00:51,violent protest,very high,within 36 hours
186,Riot,disturbance,"9328 Norman Prairie, Jensenfurt, WI 98601",17-05-2023 11:14,riot,low,within 12 hours
187,Public Health Emergency,pandemic,"6140 Coleman Expressway, Melissamouth, WA 18717",09-12-2022 10:48,outbreak,high,within 6 hours
188,Civil War,conflict,"6591 Sherry Branch Apt. 599, Matthewmouth, OK 10834",23-06-2022 00:36,armed conflict,high,within 48 hours
189,Riot,riot,"3316 Ralph Stravenue, Jesseview, VT 13082",18-12-2022 12:42,uprising,low,within 36 hours
190,Environmental Hazard,toxic contamination,"1921 Brown Village Suite 572, Troybury, KY 86317",13-04-2021 17:52,pollution,high,within 24 hours
191,Environmental Hazard,environmental disaster,"USNS Avila, FPO AP 68523",23-08-2022 18:23,environmental disaster,low,within 12 hours
192,Protest,demonstration,"85167 Nicole Landing, Keithbury, OR 53712",17-03-2020 21:23,protest,very high,within 24 hours
193,Environmental Hazard,toxic contamination,"8682 Pamela Centers Suite 743, Port Kimberly, MH 87350",12-08-2021 17:42,environmental hazard,high,within 6 hours
194,Terrorist Attack,terrorism,"4794 Harris Ranch Apt. 661, Robertmouth, NJ 78283",29-07-2022 07:56,armed assault,very high,within 24 hours
195,Environmental Hazard,ecological threat,"70448 Schmidt Avenue Apt. 072, South Eric, OR 26184",27-05-2023 13:43,environmental disaster,low,within 6 hours
196,Protest,strike,"PSC 7763, Box 1361, APO AP 82127",16-07-2023 19:05,demonstration,high,within 24 hours
197,Environmental Hazard,environmental disaster,"322 May Curve, New Joseph, KY 41074",18-05-2020 22:27,environmental disaster,very low,within 18 hours
198,Terrorist Attack,bombing,"09861 April Mountain, North Travis, DE 17703",28-06-2020 03:17,hostage crisis,moderate,within 12 hours
199,Environmental Hazard,environmental hazard,"85994 Young Haven Suite 932, South Lauraton, SD 53696",11-01-2023 18:32,environmental hazard,low,within 24 hours
200,Environmental Hazard,environmental hazard,"5184 Douglas Walk, Port Danielmouth, WA 90812",19-01-2024 22:45,ecological threat,moderate,within 36 hours
201,Labor Strike,industrial action,"017 Lauren Flat, North Thomashaven, WA 28449",04-01-2023 13:30,industrial action,very low,within 36 hours
202,Protest,march,"PSC 4619, Box 8610, APO AP 81012",01-06-2021 08:45,march,high,within 24 hours
203,Civil War,warfare,"23490 Sharon Ways Suite 972, Mooreport, MT 27833",09-10-2021 07:05,civil war,high,within 18 hours
204,Crime Spree,criminal activity,"49348 Rodriguez Shore Suite 414, Markfort, HI 20479",25-05-2020 03:08,crime wave,very low,within 12 hours
205,Riot,civil unrest,"654 Dawn Branch Apt. 613, New Johnland, CA 68816",11-01-2020 07:46,disturbance,very low,within 12 hours
206,Environmental Hazard,environmental hazard,"94358 Hughes Fort, North Frederick, WA 57957",19-04-2022 02:04,environmental hazard,high,within 36 hours
207,Crime Spree,criminal outbreak,"671 Bean Ridge Apt. 063, West Elizabeth, ME 78790",20-12-2023 20:54,crime wave,very low,within 24 hours
208,Public Health Emergency,outbreak,"048 Courtney Plaza Suite 772, Laneshire, KS 34437",06-05-2023 03:14,health crisis,low,within 48 hours
209,Labor Strike,worker protest,"65351 Carey Overpass, South Oscar, TX 53892",07-01-2022 00:06,worker protest,moderate,within 12 hours
210,Protest,march,"USNV Lopez, FPO AA 61246",27-12-2021 15:39,demonstration,very high,within 36 hours
211,Civil War,conflict,"4439 Dudley Station Apt. 799, Port Doris, MN 03695",02-05-2020 06:41,insurgency,high,within 12 hours
