Crisis ID,Type of Scarcity Crisis,What,Where,When,How,Severity,Duration
41,Water Scarcity,water crisis,"484 Patricia Expressway Apt. 687, Michaelport, GA 87102",02-08-2021 02:48:45,water scarcity,low,within 7 hours
42,Water Scarcity,drought,"70888 Jeffery Avenue Suite 326, New Christina, VT 04661",24-03-2024 02:07:32,water crisis,moderate,within 7 hours
43,Food Scarcity,famine,"68139 Banks Burg Suite 006, Charlesberg, CO 17741",09-11-2020 06:17:55,food insecurity,high,within 72 hours
44,Water Scarcity,shortage of water,"32147 Donna Squares, Garnermouth, OK 16912",25-07-2020 17:32:10,water scarcity,very high,within 12 hours
45,Food Scarcity,food scarcity,"09624 Villarreal Mountains, Rodriguezton, NC 52544",30-08-2022 21:12:36,food insecurity,high,within 18 hours
46,Medical Supplies Scarcity,medical supplies scarcity,"9758 Michael Mission, South Kevinside, MD 38480",25-05-2022 18:17:39,medical supply shortage,low,within 12 hours
47,Energy Scarcity,energy scarcity,"675 Good Mission Suite 361, East Michellestad, KS 45462",03-03-2021 21:32:16,energy crisis,high,within 9 hours
48,Water Scarcity,water scarcity,"6836 Young Mews, Sarahfort, AL 38434",10-07-2020 20:46:54,shortage of water,very low,within 7 hours
49,Energy Scarcity,energy scarcity,"PSC 3094, Box 1274, APO AE 57637",18-08-2022 09:49:30,power outage,very low,within 7 hours
50,Medical Supplies Scarcity,shortage of medical equipment,"69271 Gutierrez Flat Apt. 397, Parksfurt, AL 29643",30-11-2021 22:25:57,lack of medicines,very low,within 7 hours
51,Medical Supplies Scarcity,medical supply shortage,"35955 Garrett Place Apt. 508, Ashleyland, GU 33236",17-04-2020 00:21:57,medical supplies scarcity,very low,within 72 hours
52,Energy Scarcity,shortage of energy,"69322 Amanda Roads, North Johnshire, LA 10534",10-02-2022 05:57:41,energy crisis,high,within 5 hours
53,Food Scarcity,shortage of food,"68575 Tucker Hollow Suite 080, Marytown, PW 74369",10-05-2023 06:00:19,food insecurity,very low,within 18 hours
54,Water Scarcity,water scarcity,"275 Pearson Branch, Edwinberg, AL 31693",01-04-2022 08:07:59,drought,moderate,within 18 hours
55,Food Scarcity,food insecurity,"USCGC Wilson, FPO AA 05294",12-10-2020 15:26:08,shortage of food,low,within 7 hours
56,Energy Scarcity,energy crisis,"71899 John Way, West Joshua, UT 50793",31-12-2021 05:10:41,lack of electricity,high,within 24 hours
57,Food Scarcity,hunger crisis,"09324 Deanna Shores Apt. 465, Lake Joan, MI 74977",20-11-2023 23:13:48,food insecurity,high,within 5 hours
58,Food Scarcity,shortage of food,"3560 Andrew Rest Suite 237, East Christina, TN 58276",23-08-2023 07:56:45,shortage of food,very low,within 48 hours
59,Food Scarcity,shortage of food,"80275 Carrie Ports, Craigfort, AR 91046",30-12-2020 11:22:41,famine,low,within 48 hours
60,Water Scarcity,water crisis,"307 Mccoy Ridges Apt. 779, Hernandezstad, KS 53299",27-07-2023 22:07:26,shortage of water,high,within 24 hours
61,Food Scarcity,famine,"995 Griffin Roads, Lake Grace, MN 81362",04-12-2022 06:25:31,hunger crisis,very low,within 12 hours
62,Food Scarcity,famine,"39085 Corey Course Suite 448, New Ronaldside, NE 07558",01-09-2023 08:02:59,hunger crisis,moderate,within 5 hours
63,Energy Scarcity,energy scarcity,"192 Emily Meadow Apt. 974, New Rebeccafurt, WI 56752",31-10-2022 04:48:50,shortage of energy,low,within 48 hours
64,Food Scarcity,shortage of food,"0966 Patricia Plaza Apt. 510, Jameschester, PR 10312",23-03-2020 13:20:21,food insecurity,high,within 9 hours
65,Medical Supplies Scarcity,medical supply shortage,"USNV Jimenez, FPO AP 53801",03-07-2020 18:46:05,shortage of medical equipment,very high,within 18 hours
66,Food Scarcity,food insecurity,"3533 Thomas Alley, Thomasburgh, NC 67010",12-09-2022 05:50:35,famine,very high,within 72 hours
67,Energy Scarcity,shortage of energy,"76335 Ellis Views Apt. 064, West Ryan, WA 62956",22-11-2023 20:54:45,lack of electricity,moderate,within 5 hours
68,Medical Supplies Scarcity,lack of medicines,"222 David Track Suite 525, Huffview, SC 90262",28-05-2022 11:20:04,medical supply shortage,very high,within 72 hours
69,Energy Scarcity,energy crisis,"253 Daniel Course, Lake Chad, WI 56246",17-03-2024 11:57:55,energy crisis,high,within 12 hours
70,Medical Supplies Scarcity,shortage of medical equipment,"PSC 1827, Box 4618, APO AA 83520",26-02-2024 20:19:27,medical supplies scarcity,very low,within 72 hours
71,Fuel Scarcity,shortage of fuel,"028 Crosby Glen, West Justinport, FL 34886",03-04-2022 19:01:06,shortage of fuel,moderate,within 72 hours
72,Fuel Scarcity,fuel supply disruption,"140 Rowe Crossroad, West Bryanberg, NH 86156",18-07-2020 15:02:22,shortage of fuel,moderate,within 7 hours
73,Water Scarcity,water crisis,"3239 Melvin Motorway Apt. 782, Liufurt, VA 87196",16-08-2020 14:05:20,lack of clean water,very high,within 18 hours
74,Water Scarcity,lack of clean water,"633 Patricia Rue, North Aliceport, MH 63535",16-03-2023 01:16:34,water scarcity,very high,within 9 hours
75,Energy Scarcity,energy crisis,"879 Porter Neck, East Shawn, CA 97693",15-11-2021 20:06:18,energy scarcity,very low,within 72 hours
76,Medical Supplies Scarcity,shortage of medical equipment,"USNV Raymond, FPO AE 48780",04-01-2021 17:47:41,medical supplies scarcity,very high,within 12 hours
77,Water Scarcity,water scarcity,"15111 Lane Shores, Vanessaville, MO 24794",25-02-2022 04:22:04,drought,low,within 72 hours
78,Medical Supplies Scarcity,shortage of medical equipment,"303 Cassandra Knoll Suite 460, Seanview, WI 93948",16-03-2024 16:31:02,lack of medicines,low,within 7 hours
79,Energy Scarcity,lack of electricity,"Unit 9514 Box 1214, DPO AE 24257",23-06-2023 12:19:18,power outage,very low,within 72 hours
80,Fuel Scarcity,shortage of fuel,"540 Rios Views, Wilsonchester, NE 92781",19-11-2021 02:34:42,fuel supply disruption,very low,within 18 hours
81,Food Scarcity,famine,"3772 Sarah Street Apt. 499, Port Nicholaston, NY 12077",27-04-2021 10:36:06,food insecurity,very low,within 7 hours
82,Energy Scarcity,lack of electricity,"66649 Brown Expressway Suite 986, Clarkmouth, WA 48686",16-09-2020 16:14:12,lack of electricity,low,within 72 hours
83,Fuel Scarcity,energy crisis,"40019 Amber Prairie Suite 593, West Ryanshire, MS 82545",19-10-2023 12:19:42,fuel scarcity,low,within 7 hours
84,Energy Scarcity,shortage of energy,"696 Marshall Place, West Scottbury, NM 71314",06-11-2020 07:08:55,shortage of energy,high,within 18 hours
85,Fuel Scarcity,petrol shortage,"3121 Brandon Lake, South Timothy, KY 06805",23-10-2022 11:30:50,shortage of fuel,very low,within 12 hours
86,Fuel Scarcity,fuel scarcity,"116 Crawford River Apt. 664, Grahamhaven, WV 78257",24-05-2022 16:05:24,shortage of fuel,very high,within 48 hours
87,Food Scarcity,food scarcity,"Unit 9518 Box 3715, DPO AP 26891",04-08-2022 11:57:46,food scarcity,very low,within 5 hours
88,Water Scarcity,water crisis,"686 Grant Mount, New Pamela, WV 97958",21-10-2020 14:00:40,water crisis,very low,within 5 hours
89,Fuel Scarcity,petrol shortage,"7906 Simpson Via Apt. 532, Bernardland, IL 22526",21-05-2022 20:57:29,energy crisis,high,within 48 hours
90,Water Scarcity,water scarcity,"09214 Contreras Ranch Suite 714, Anthonyview, MO 89115",17-12-2020 04:29:56,drought,high,within 24 hours
91,Water Scarcity,drought,"2123 Dan Road, Lake Matthew, LA 63347",15-12-2020 10:35:12,shortage of water,very low,within 7 hours
92,Food Scarcity,hunger crisis,"237 Shelley Route Suite 830, Cruzmouth, DE 78943",03-05-2022 18:47:37,shortage of food,very high,within 24 hours
93,Water Scarcity,drought,"0325 Jones Center Suite 672, New Kenneth, AS 19505",09-02-2024 09:39:09,water crisis,high,within 7 hours
94,Food Scarcity,hunger crisis,"0680 Gerald Village Suite 719, Harringtonburgh, ID 76543",26-11-2021 05:53:29,food insecurity,very high,within 48 hours
95,Fuel Scarcity,fuel scarcity,"9449 Richards Street Suite 352, New Heatherhaven, CT 66419",24-07-2021 12:45:10,shortage of fuel,low,within 18 hours
96,Energy Scarcity,power outage,"31458 Rodriguez Manor Apt. 448, Kimberlystad, IN 53465",19-04-2020 03:43:16,shortage of energy,high,within 5 hours
97,Medical Supplies Scarcity,medical supplies scarcity,"119 Ware Lodge Apt. 013, Nataliehaven, MA 30112",24-08-2021 00:06:11,medical supplies scarcity,moderate,within 5 hours
98,Food Scarcity,food scarcity,"9287 Mccann Fort, Port Erin, ND 80054",28-03-2021 12:34:05,food insecurity,very high,within 9 hours
99,Medical Supplies Scarcity,lack of medicines,"4194 Williams Forks, Port Toniview, MO 56150",06-08-2022 23:01:47,lack of medicines,moderate,within 72 hours
100,Water Scarcity,shortage of water,"3071 Lloyd Dam, Shannonborough, OK 30595",03-02-2024 16:04:46,water crisis,low,within 48 hours
101,Energy Scarcity,energy crisis,"599 Michael Place, Kristopherland, RI 35145",04-11-2023 04:17:13,energy crisis,very low,within 72 hours
102,Food Scarcity,food insecurity,"497 Justin Plains, Luisport, OR 41400",21-01-2023 16:16:39,shortage of food,high,within 72 hours
103,Water Scarcity,water scarcity,"3881 Green Stravenue, New Rachel, CO 45473",25-08-2023 19:54:12,water scarcity,high,within 12 hours
104,Energy Scarcity,energy crisis,"1768 Susan Pine, North Nicholas, VA 57680",26-06-2022 06:03:32,power outage,high,within 9 hours
105,Medical Supplies Scarcity,lack of medicines,"91001 Williamson Common, New Steven, MD 82507",18-10-2021 01:15:56,shortage of medical equipment,very low,within 18 hours
106,Medical Supplies Scarcity,shortage of medical equipment,"5942 Lynch Manors Apt. 240, Loritown, ID 56497",26-05-2023 03:25:59,healthcare crisis,moderate,within 72 hours
107,Energy Scarcity,lack of electricity,"636 Hernandez Stravenue, North Sheryl, AL 25640",15-11-2021 05:45:52,power outage,very high,within 18 hours
108,Food Scarcity,food scarcity,"73899 Rachel Tunnel Apt. 377, Port Joshuahaven, MD 77972",14-05-2021 06:53:32,shortage of food,low,within 9 hours
109,Medical Supplies Scarcity,healthcare crisis,"1532 Christopher Crest Apt. 349, New Carlosland, VT 27912",02-04-2022 21:18:16,medical supply shortage,moderate,within 72 hours
110,Medical Supplies Scarcity,healthcare crisis,"2518 Cindy Throughway, New Kyle, MO 87541",29-04-2021 16:19:00,medical supply shortage,high,within 18 hours
111,Energy Scarcity,energy crisis,"USCGC Rubio, FPO AE 94091",24-06-2020 05:18:32,lack of electricity,very high,within 18 hours
112,Fuel Scarcity,energy crisis,"475 Aaron Estate, Robertside, PW 28130",08-01-2024 23:32:53,fuel scarcity,moderate,within 72 hours
113,Fuel Scarcity,fuel scarcity,"023 Rogers Circle Suite 576, South Melanie, CA 04643",24-05-2022 14:25:25,energy crisis,very high,within 7 hours
114,Energy Scarcity,power outage,"817 James Plain, West Brandonfort, CA 39163",17-04-2021 15:51:03,lack of electricity,very high,within 7 hours
115,Fuel Scarcity,shortage of fuel,"140 Garrison Wall Apt. 454, North Jefferystad, WI 69564",12-01-2024 23:25:57,energy crisis,very low,within 18 hours
116,Water Scarcity,water crisis,"3705 Katherine Camp, South Natasha, SC 14335",12-05-2021 23:09:10,shortage of water,low,within 18 hours
117,Food Scarcity,shortage of food,"520 Coffey Squares, North Johnny, FL 35403",17-07-2023 23:14:37,shortage of food,low,within 72 hours
118,Water Scarcity,lack of clean water,"19254 Price Inlet Apt. 050, New Alyssamouth, ME 88049",12-10-2021 13:21:10,water scarcity,very low,within 72 hours
119,Energy Scarcity,energy scarcity,"87480 Chris Light Apt. 630, New Danielberg, IN 47125",27-03-2023 05:53:44,energy crisis,high,within 9 hours
120,Food Scarcity,food insecurity,"85955 Aaron Corner, Trevorfurt, RI 71233",20-10-2020 02:43:31,famine,very high,within 7 hours
121,Fuel Scarcity,shortage of fuel,"67617 Thomas Forest Suite 289, Port Justinhaven, MD 10345",23-12-2023 02:19:25,fuel supply disruption,very low,within 5 hours
122,Energy Scarcity,energy crisis,"37358 Mathew Glens, Cherylville, OK 54591",16-05-2020 07:34:53,shortage of energy,very high,within 12 hours
123,Food Scarcity,hunger crisis,"PSC 9920, Box 6268, APO AP 69680",08-08-2022 21:35:17,hunger crisis,high,within 72 hours
124,Water Scarcity,water scarcity,"19749 Susan Burg, Hamiltonshire, CO 35293",28-06-2020 07:53:58,lack of clean water,high,within 48 hours
125,Fuel Scarcity,shortage of fuel,"983 Patterson Land Apt. 799, New Andrew, NC 37988",11-07-2023 23:07:07,fuel supply disruption,low,within 72 hours
126,Fuel Scarcity,energy crisis,"479 Sarah Camp Apt. 016, Port Sheila, NJ 26842",03-02-2021 17:05:38,petrol shortage,very low,within 9 hours
127,Food Scarcity,famine,"2202 Palmer Pine, East Elizabethberg, UT 28391",07-03-2021 23:59:06,food insecurity,very low,within 9 hours
128,Water Scarcity,water scarcity,"2413 Snyder Extensions, Hammondville, VI 65803",05-12-2023 20:43:42,lack of clean water,very low,within 9 hours
129,Energy Scarcity,energy scarcity,"Unit 5228 Box 2544, DPO AA 28995",28-04-2020 16:24:50,lack of electricity,moderate,within 48 hours
130,Fuel Scarcity,energy crisis,"32228 Morrison Loaf, New Cindy, WA 34743",30-12-2023 07:22:00,fuel supply disruption,very high,within 18 hours
131,Food Scarcity,food insecurity,"901 Gregory Neck, East Rose, UT 63629",10-01-2023 10:50:17,food insecurity,very high,within 9 hours
132,Fuel Scarcity,petrol shortage,"0088 Ward Drive, Tammyshire, VA 53227",12-02-2021 23:14:57,fuel supply disruption,low,within 7 hours
133,Medical Supplies Scarcity,medical supply shortage,"83911 Lang Well Suite 063, Barrettchester, GU 20924",06-01-2024 16:11:51,medical supplies scarcity,high,within 72 hours
134,Medical Supplies Scarcity,medical supplies scarcity,"4291 Ayala Mission, Lunaberg, HI 29569",04-08-2021 10:29:07,medical supplies scarcity,moderate,within 72 hours
135,Energy Scarcity,energy crisis,"6048 Gross Highway Suite 606, Villanuevaland, MT 29452",16-09-2021 15:44:10,shortage of energy,very high,within 48 hours
136,Medical Supplies Scarcity,medical supplies scarcity,"22489 Pierce Summit, New Rodneymouth, ME 70397",10-07-2021 03:24:45,lack of medicines,very high,within 24 hours
137,Food Scarcity,food scarcity,"1400 Olson Highway Apt. 190, Ryanfort, SC 28727",06-08-2023 12:49:55,shortage of food,very low,within 24 hours
138,Water Scarcity,drought,"9824 Melissa Crescent, West Aaron, MN 52241",03-03-2022 09:04:41,water scarcity,low,within 9 hours
139,Energy Scarcity,lack of electricity,"05836 Morris Plaza Suite 632, Larabury, MH 69175",04-10-2022 23:27:41,energy scarcity,very low,within 5 hours
140,Fuel Scarcity,shortage of fuel,"12986 Smith Squares, Kristinaberg, WI 02147",31-05-2022 17:28:53,petrol shortage,low,within 24 hours
141,Medical Supplies Scarcity,lack of medicines,"USCGC Hopkins, FPO AP 28117",09-07-2021 23:28:29,medical supply shortage,very low,within 5 hours
142,Water Scarcity,lack of clean water,"890 Miller Centers, New Natasha, DC 96331",13-12-2022 05:09:36,water scarcity,very high,within 48 hours
143,Medical Supplies Scarcity,lack of medicines,"693 Bryant Unions, Christinatown, CO 10345",11-09-2020 07:50:40,shortage of medical equipment,very low,within 9 hours
144,Medical Supplies Scarcity,shortage of medical equipment,"76596 Mcintosh Pass, South Kevin, OR 15522",16-10-2022 10:50:56,lack of medicines,moderate,within 9 hours
145,Energy Scarcity,energy scarcity,"131 Franklin Parkway Apt. 595, Lake Joshualand, MH 30969",10-01-2020 22:58:35,lack of electricity,moderate,within 5 hours
146,Medical Supplies Scarcity,lack of medicines,"60420 Jill Keys Apt. 003, East Samuelfurt, PR 50786",20-05-2023 11:36:03,lack of medicines,low,within 5 hours
147,Energy Scarcity,lack of electricity,"PSC 7252, Box 2640, APO AP 65272",28-04-2020 10:51:22,power outage,very high,within 72 hours
148,Energy Scarcity,power outage,"5668 Webster Junctions Apt. 051, North Lisabury, PR 46937",06-09-2021 19:59:35,lack of electricity,moderate,within 72 hours
149,Fuel Scarcity,fuel supply disruption,"0134 Smith Well Apt. 689, Griffinborough, WA 35274",10-07-2023 09:05:32,fuel supply disruption,high,within 24 hours
150,Medical Supplies Scarcity,healthcare crisis,"0728 Nicole Glens Apt. 015, Laurenport, NC 15376",09-05-2022 14:12:43,lack of medicines,very low,within 18 hours
151,Fuel Scarcity,petrol shortage,"6778 Ward Pine Suite 825, Michelleview, ND 35907",23-11-2020 16:42:40,fuel supply disruption,moderate,within 9 hours
152,Medical Supplies Scarcity,medical supplies scarcity,"2587 Jacobs Knolls Apt. 756, Geraldburgh, MA 95042",31-03-2021 22:06:41,medical supplies scarcity,high,within 5 hours
153,Fuel Scarcity,petrol shortage,"PSC 7596, Box 8256, APO AA 79206",18-04-2022 19:14:22,fuel supply disruption,low,within 48 hours
154,Medical Supplies Scarcity,lack of medicines,"09330 Leblanc Points, Ashleytown, IL 39189",24-12-2021 11:49:13,lack of medicines,very low,within 24 hours
155,Water Scarcity,water scarcity,"96657 Michael Plaza Suite 796, East Randy, NV 73600",28-11-2022 18:11:07,water scarcity,very low,within 7 hours
156,Food Scarcity,famine,"154 Chapman Mountain Suite 930, Patriciaton, LA 24587",01-11-2020 20:11:29,food insecurity,very low,within 5 hours
157,Medical Supplies Scarcity,shortage of medical equipment,"0400 Lopez Way Suite 736, East Colleen, HI 35209",21-01-2020 17:14:41,medical supplies scarcity,low,within 9 hours
158,Water Scarcity,water scarcity,"1082 Samuel Extension, Farmertown, KS 60611",29-12-2023 06:34:28,drought,moderate,within 48 hours
159,Food Scarcity,shortage of food,"82701 Kramer Plains Suite 226, Lake Marybury, VI 01390",17-05-2020 20:13:43,famine,very low,within 48 hours
160,Medical Supplies Scarcity,shortage of medical equipment,"3284 Young Street, Kirkborough, SC 14800",01-04-2022 13:55:29,medical supplies scarcity,high,within 48 hours
161,Fuel Scarcity,shortage of fuel,"13784 Ayers Ports Suite 329, Andersonburgh, VA 27507",10-06-2023 15:45:27,petrol shortage,moderate,within 24 hours
162,Water Scarcity,water crisis,"06399 Harris Center Suite 186, Port Mark, IL 48172",23-06-2020 06:26:58,drought,low,within 5 hours
163,Food Scarcity,shortage of food,"PSC 0194, Box 5724, APO AA 79212",31-03-2022 19:07:06,food insecurity,moderate,within 5 hours
164,Water Scarcity,drought,"6199 Bennett Squares, South Carrie, TN 26509",21-04-2020 21:30:15,shortage of water,high,within 18 hours
165,Fuel Scarcity,energy crisis,"8771 Kevin Radial Suite 038, South Mariaview, IA 56910",21-04-2021 02:04:07,shortage of fuel,high,within 24 hours
166,Food Scarcity,shortage of food,"407 Andrew Path Apt. 273, Danaview, WI 51571",05-12-2021 09:03:56,food insecurity,high,within 24 hours
167,Medical Supplies Scarcity,shortage of medical equipment,"3296 Adam Trafficway, Oliviaborough, CT 81256",03-11-2022 19:00:52,healthcare crisis,very high,within 12 hours
168,Medical Supplies Scarcity,medical supply shortage,"59019 Green Haven Suite 845, Lake Georgeport, GA 26944",24-11-2022 20:45:01,medical supply shortage,very low,within 18 hours
169,Fuel Scarcity,fuel scarcity,"USNS Ramos, FPO AA 03853",26-11-2023 06:12:16,energy crisis,very low,within 48 hours
170,Fuel Scarcity,fuel supply disruption,"980 Kelly Street Apt. 263, Nathanielborough, ND 49010",08-07-2022 18:48:14,energy crisis,very low,within 7 hours
171,Food Scarcity,food insecurity,"2921 Matthew Mill, West Ryanberg, TX 39322",27-04-2022 14:14:00,shortage of food,low,within 48 hours
172,Energy Scarcity,lack of electricity,"31325 Chandler Isle Suite 064, Mosleystad, GU 36375",12-03-2024 21:23:33,energy crisis,moderate,within 72 hours
173,Energy Scarcity,shortage of energy,"PSC 6579, Box 4884, APO AA 85989",29-01-2023 07:27:58,energy scarcity,low,within 7 hours
174,Fuel Scarcity,fuel scarcity,"301 Underwood Prairie, West Stacyton, ID 19963",09-01-2021 11:57:13,fuel supply disruption,high,within 48 hours
175,Fuel Scarcity,petrol shortage,"995 Sara Route, Veronicafurt, TN 29350",24-05-2022 05:31:55,shortage of fuel,high,within 24 hours
176,Water Scarcity,lack of clean water,"700 Shannon Mews Apt. 397, Josephview, MO 71168",01-12-2022 00:53:30,drought,very high,within 24 hours
177,Food Scarcity,hunger crisis,"806 Shelley Land, Thompsonbury, CO 37904",10-11-2020 16:21:21,famine,very low,within 18 hours
178,Medical Supplies Scarcity,healthcare crisis,"USNS Brooks, FPO AP 80732",19-07-2021 14:23:33,medical supply shortage,moderate,within 5 hours
179,Food Scarcity,shortage of food,"6813 Taylor Ridge Suite 256, Youngberg, MA 56844",30-06-2023 15:27:31,hunger crisis,very low,within 7 hours
180,Fuel Scarcity,petrol shortage,"USNV Guzman, FPO AP 80051",14-06-2021 08:11:44,fuel supply disruption,very low,within 24 hours
181,Medical Supplies Scarcity,medical supplies scarcity,"2459 Parsons Landing Suite 968, Nancytown, WY 94854",18-01-2024 16:56:51,shortage of medical equipment,very high,within 5 hours
182,Water Scarcity,drought,"34302 Oconnor Flat Suite 127, New Jesse, KS 63731",11-09-2023 19:36:26,shortage of water,low,within 24 hours
183,Water Scarcity,water scarcity,"7048 Sanders Corner Apt. 927, Lake Timbury, AL 90414",11-06-2023 15:39:44,shortage of water,very low,within 9 hours
184,Medical Supplies Scarcity,medical supplies scarcity,"58483 Fry Run, Barretthaven, IA 17947",18-04-2020 12:15:15,healthcare crisis,very low,within 7 hours
185,Food Scarcity,food scarcity,"14161 Kane Port, East Yvonne, MS 06924",01-01-2024 12:18:54,food insecurity,low,within 18 hours
186,Energy Scarcity,energy scarcity,"Unit 7154 Box 2490, DPO AP 56726",23-06-2021 17:18:01,energy crisis,very low,within 9 hours
187,Food Scarcity,hunger crisis,"225 Martinez Field Suite 901, Parkfurt, AL 53076",10-02-2022 23:41:04,food insecurity,very high,within 48 hours
